Level,HC,SM,SM2,GS1
3,5.16,5.35,6.07,5.28
6,5.87,5.83,6.1,6.33
9,6.65,6.71,6.66,7.07
12,6.97,7.44,7.26,8.28
15,7.68,7.51,7.16,7.85
