Level,HC,SM,SM2,GS1
3,4.15,4.09,5.18,4.17
6,7.52,7.35,7.21,7.83
9,11.3,11.06,11.05,11.51
12,14.43,14.45,14.59,14.62
15,16.64,16.64,16.66,16.87
