Level,HC,SM,SM2,GS1
3,0.88,0.9,0.8,0.89
6,0.57,0.57,0.61,0.54
9,0.44,0.44,0.44,0.43
12,0.3,0.33,0.32,0.32
15,0.26,0.25,0.24,0.22
