Level,HC,SM,SM2,GS1
3,4.31,4.25,5.86,4.38
6,7.74,7.61,7.39,7.85
9,11.16,11.12,11.18,11.52
12,13.98,13.99,13.97,14.32
15,15.83,15.92,16.11,16.28
