Level,HC,SM,SM2,GS1
3,4.14,4.11,4.7,4.15
6,7.29,7.21,6.74,7.65
9,11.23,11.15,11.17,11.72
12,14.75,14.61,14.77,15.15
15,17.01,16.82,17.0,17.08
