Level,HC,SM,SM2,GS1
3,0.74,0.8,0.7,0.76
6,0.51,0.51,0.56,0.56
9,0.42,0.43,0.42,0.44
12,0.36,0.39,0.38,0.44
15,0.36,0.35,0.32,0.36
