,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.065,0.07600000000000001,0.081,0.064,0.154,0.139,0.136,0.134,0.271,0.22699999999999998,0.22799999999999998,0.239,0.375,0.329,0.32700000000000007,0.33399999999999996,0.41300000000000003,0.394,0.39599999999999996,0.396
1,0.091,0.078,0.07100000000000001,0.10800000000000001,0.131,0.11499999999999999,0.106,0.07600000000000001,0.204,0.189,0.181,0.19,0.255,0.248,0.24,0.248,0.271,0.278,0.272,0.275
2,0.793,0.795,0.796,0.775,0.5740000000000001,0.609,0.622,0.66,0.30500000000000005,0.373,0.383,0.362,0.107,0.17200000000000001,0.183,0.162,0.031,0.043000000000000003,0.052000000000000005,0.039
3,0.05,0.051,0.052,0.052,0.14,0.138,0.137,0.13,0.219,0.21,0.21,0.209,0.265,0.249,0.25,0.256,0.286,0.284,0.279,0.289
