Level,HC,SM,SM2,GS1
3,0.83,0.84,0.73,0.79
6,0.64,0.61,0.64,0.6
9,0.57,0.57,0.58,0.57
12,0.48,0.49,0.46,0.46
15,0.43,0.44,0.44,0.41
