Level,HC,SM,SM2,GS1
3,5.62,5.66,5.76,5.67
6,6.1,6.03,6.04,6.08
9,6.88,6.84,6.89,7.01
12,6.3,6.78,6.64,6.71
15,6.35,6.21,6.03,5.62
