,Level,0,1,2,3,4,5,6,7,8,9,10,11
0,3,1.31,1.01,0.87,1.16,0.48,0.26,0.39,0.34,0.2,0.19,0.24,0.2
1,6,2.42,2.4,1.88,2.65,1.23,1.11,0.91,1.02,0.62,0.56,0.46,0.58
2,9,3.45,3.44,3.28,3.79,1.53,1.53,1.36,1.49,0.84,0.79,0.78,0.8
3,12,3.92,4.17,3.83,4.6,2.81,2.91,2.84,2.99,1.41,1.38,1.42,1.58
4,15,4.16,4.2,4.16,4.24,3.66,3.65,3.59,3.88,1.58,1.66,1.63,1.79
