Level,HC,SM,SM2,GS1
3,5.4,5.4,5.76,5.29
6,6.8,6.46,6.61,6.67
9,8.4,8.27,8.36,8.53
12,8.87,9.1,8.63,8.72
15,9.15,9.29,9.23,8.92
