Method, 3, 6, 9,12, 15
GS1,299707.111636596,393525.547772549,555024.613697785,593644.997802864,510791.349630824
SM,281564.182931187,403928.133079673,549188.816220807,615575.111931098,544925.387900836
SM2,367217.699335407,418235.080499873,550854.394498412,627669.681213556,535909.695577235
HC, 298246.445174593,420933.861039084,564794.671308412,634102.190796087,560614.552185947
