Level,HC,SM,SM2,GS1
3,3.77,3.61,4.86,3.78
6,7.52,7.41,7.05,7.74
9,11.27,11.14,10.96,11.45
12,14.54,14.52,14.39,14.55
15,16.78,16.78,16.81,16.88
