Level,HC,SM,SM2,GS1
3,4.99,4.88,5.68,5.29
6,5.87,5.74,5.93,5.9
9,6.64,6.53,6.64,6.72
12,6.89,7.04,6.99,6.79
15,6.21,6.56,6.34,5.73
