Level,HC,SM,SM2,GS1
3,3.99,3.84,5.67,3.94
6,7.59,7.55,7.3,7.64
9,11.11,11.22,11.03,11.37
12,14.16,14.28,14.14,14.34
15,15.97,16.07,16.13,16.31
