Level,HC,SM,SM2,GS1
3,3.6,3.56,4.38,3.63
6,7.25,7.21,6.61,7.62
9,11.23,11.19,11.14,11.73
12,15.12,15.05,15.08,15.49
15,17.18,17.12,17.21,17.51
