Level,HC,SM,SM2,GS1
3,0.77,0.73,0.79,0.77
6,0.61,0.6,0.64,0.56
9,0.56,0.55,0.56,0.54
12,0.5,0.49,0.5,0.48
15,0.42,0.41,0.41,0.39
