 ;3%;;;;;;6%;;;;;;9%;;;;;;12%;;;;;;15%;;;;
;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC
Stocks;0.065;0.09;0.058;0.129;0.011;;0.217;0.213;0.216;0.211;0.282;;0.361;0.337;0.356;0.346;0.468;;0.426;0.412;0.431;0.427;0.631;;0.469;0.459;0.47;0.465;0.902
Commodities;0.033;0.031;0.016;0.137;0.03;;0.125;0.124;0.104;0.141;0;;0.182;0.192;0.172;0.18;0;;0.224;0.224;0.209;0.207;0;;0.251;0.247;0.24;0.246;0
Bonds;0.879;0.848;0.901;0.69;0.959;;0.546;0.547;0.571;0.539;0.657;;0.272;0.282;0.291;0.28;0.397;;0.122;0.139;0.136;0.146;0.175;;0.058;0.066;0.067;0.067;0
Real estate;0.023;0.031;0.025;0.043;0;;0.112;0.116;0.11;0.109;0.061;;0.184;0.189;0.181;0.195;0.135;;0.228;0.224;0.225;0.22;0.194;;0.223;0.226;0.223;0.221;0.098
