Level,HC,SM,SM2,GS1
3,0.7,0.66,0.72,0.69
6,0.52,0.53,0.57,0.58
9,0.45,0.47,0.43,0.48
12,0.37,0.41,0.39,0.43
15,0.37,0.38,0.36,0.39
