Method, 3, 6, 9,12, 15
GS1,287460.297987179, 401280.923714109,472042.87658327, 495212.387203995,493211.601616633
SM,275141.346907083,363419.477514357,450981.155675284,474304.831645575,471936.935408484
SM2,383412.866712893,379803.945125579,402024.089968309,432220.681886088,441037.879048719
HC, 290355.535032786,362676.459102965,422871.690516796,413085.372254011,447137.471551806
