Method, 3, 6, 9,12, 15
GS1,330052.622504894,359900.855321247,394483.057334301,355150.110354775,258150.563847464
SM,300671.801594776,350008.926299528,383116.91036795,381275.51258233,316796.842343943
SM2,358619.820720161,368531.166569837,393550.859001659,376483.17214155,300439.080095575
HC,308632.271312004,359448.495167554,392863.98093569,368035.195014756,291880.880405984
