Level,HC,SM,SM2,GS1
3,4.74,4.5,6.04,4.69
6,5.92,5.93,6.11,6.37
9,6.93,7.23,6.7,7.44
12,7.22,7.85,7.42,8.05
15,7.85,8.1,7.82,8.34
