 ;3%;;;;;;6%;;;;;;9%;;;;;;12%;;;;;;15%;;;;
;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC;;GS;SC;SM-CC;SM-ZC;PC
Stocks;0.059;0.084;0.059;0.078;0.011;;0.192;0.21;0.198;0.181;0.282;;0.331;0.328;0.324;0.311;0.468;;0.471;0.455;0.457;0.456;0.631;;0.523;0.511;0.51;0.52;0.902
Commodities;0.033;0.024;0.012;0.092;0.03;;0.104;0.094;0.089;0.075;0;;0.169;0.162;0.155;0.15;0;;0.196;0.188;0.187;0.184;0;;0.205;0.201;0.2;0.196;0
Bonds;0.899;0.883;0.923;0.802;0.959;;0.613;0.618;0.634;0.649;0.657;;0.343;0.369;0.377;0.381;0.397;;0.16;0.191;0.189;0.189;0.175;;0.088;0.109;0.108;0.105;0
Real estate;0.008;0.008;0.007;0.028;0;;0.091;0.079;0.081;0.094;0.061;;0.157;0.142;0.146;0.157;0.135;;0.173;0.167;0.167;0.171;0.194;;0.184;0.179;0.182;0.179;0.098
