Level,HC,SM,SM2,GS1
3,0.84,0.82,0.84,0.92
6,0.54,0.53,0.6,0.52
9,0.42,0.41,0.42,0.41
12,0.33,0.34,0.33,0.31
15,0.25,0.27,0.26,0.22
