Level,HC,SM,SM2,GS1
3,4.85,4.59,5.81,4.87
6,6.58,6.39,6.51,6.3
9,8.23,8.09,8.09,8.17
12,9.18,9.05,9.12,8.89
15,8.99,8.86,8.8,8.59
