HC,GS,SM,SM2
6.752446912055166e-05,3.636376400439206e-05,6.615166860372574e-05,6.968774602029038e-05
-4.441581275903793e-05,-3.628482408802713e-05,-4.169752862463478e-05,-4.359640083213302e-05
1.7493492114649747e-06,-2.2852982340965805e-07,2.4507684866165516e-06,2.525776597693888e-06
0.00015607896153405944,0.00012843994160591753,0.0001565999932173637,0.0001595759222215382
2.846037553733312e-05,5.603635193210648e-05,3.0819157805944165e-05,3.113228422085487e-05
3.477446469016786e-05,4.328561817617399e-05,3.603148083174742e-05,3.346927354936323e-05
0.0013090410432290058,0.0009003852126061723,0.0011647664511975856,0.0011077024532498156
4.0144827547654305e-05,1.1390624871324834e-05,4.3126076203008415e-05,3.51512957945041e-05
0.000129657494797486,9.259755600903811e-05,0.00012322076245530576,0.00013200683416645168
9.772749559528067e-05,8.465132815624679e-05,0.00010061937210120893,9.817711317004242e-05
3.429522118323508e-07,-4.754377527107709e-06,-2.042586905325397e-06,1.273083658527574e-07
-1.1765309882554031e-05,-1.769997317243449e-05,-1.0928150243788223e-05,-1.107303050418458e-05
4.082174353293305e-05,3.170976667533042e-05,4.4504068331438495e-05,4.596430933953739e-05
0.00010828137407592302,0.0001332978415414963,0.00011047222580813469,9.968633246553761e-05
-1.4593954337071419e-06,-1.2616826079031584e-05,-9.720827239281804e-06,-1.188822772897613e-06
1.240046033298449e-05,3.875564772864298e-06,1.7534252969858208e-05,1.4406136176463996e-05
-1.7853879233609496e-05,3.5098420006217206e-05,-2.3520419271162024e-05,-2.495725260970999e-05
-0.00010600690442105071,-0.000117950333799491,-0.00010249922375971457,-0.00010426259804839286
2.111312589841291e-05,1.8026660894431175e-05,2.4528964399117212e-05,2.3736179345933833e-05
3.802691476964895e-06,-4.822559676709217e-05,1.3380991566658978e-05,3.0031787958198497e-07
-3.1850821513699015e-05,-3.517399527816316e-05,-3.0766979628315747e-05,-3.679315607907699e-05
3.9573422295881636e-05,7.872811681375672e-05,3.4498594452807285e-05,3.9912860476115294e-05
0.00016894579157936823,8.410771691296209e-05,0.00016080628294843323,0.0001737024631764568
-3.606119642380126e-05,-3.2226951835060205e-05,-3.523730830010986e-05,-3.609970235953462e-05
3.904745587364998e-05,9.60861135093265e-05,3.274300913004742e-05,3.558137745511211e-05
-0.0001400502956384695,-0.00014037094230787573,-0.00014338854650134195,-0.00014327780797731247
0.00012856521230799473,9.528390140317936e-05,0.0001268912699718544,0.0001376174732759458
-7.5866139947766e-05,-3.534732104213626e-05,-6.813107350599028e-05,-7.194222601467938e-05
5.053551696607671e-05,4.4660867733139e-05,5.2937758343722316e-05,5.166911271772823e-05
4.5105709884687636e-05,5.073559647693869e-05,4.229145323178356e-05,4.7654526311190215e-05
-0.0005268332054275265,-0.00025383538982996865,-0.0005083896332653357,-0.0005142107563632578
-0.000396682442476785,-0.00029043744809058303,-0.00035869910782106683,-0.00033827370830399623
3.769534593071194e-05,-5.3536252366753224e-05,5.425785775671488e-05,5.546019420505071e-05
0.00019666013200887907,0.00015531546476337064,0.00020044963366866626,0.00020587992674721278
2.7979333440937212e-05,7.3962814323780615e-06,2.8365763867586186e-05,2.8551161290937127e-05
-1.9346117537188262e-05,-3.1541951738033383e-06,-2.103647699138074e-05,-1.6297905959838585e-05
-0.0001291144890135671,-0.00013540333093967506,-0.00012327328884477289,-0.00011651343427688567
0.00016963353531156827,0.0001244946875912506,0.00017547422866668987,0.0001823749518611497
0.00010984908812918491,0.00012028203751140217,0.00010361215543624666,0.00011275086525327355
-4.339002456172324e-05,-4.617212815145617e-05,-4.386884771667536e-05,-4.455148152971225e-05
-8.861680517994845e-05,-9.571061132529653e-05,-8.769471192821357e-05,-9.498186415586238e-05
3.066239585858624e-05,-1.2999927356526289e-05,3.0347779387263074e-05,3.593232778825381e-05
3.0140066493739015e-05,1.9168760748079945e-05,3.11166290483042e-05,3.3172736054354335e-05
0.0005892547413248565,0.0003068483453429723,0.0005586560905002924,0.000575369185221164
2.669405894631556e-05,2.9437119405063307e-05,2.9149168720670263e-05,2.717829919609248e-05
0.00010346299997815445,0.00010805308981449123,0.00010173382101116499,0.00010193883618147409
-0.00017635743566108905,-0.00010479294687164385,-0.00018054968518046131,-0.00017559355009427735
-8.661958116290384e-05,-9.96969779745267e-05,-8.058300865571022e-05,-8.621728371949536e-05
7.068975990565107e-06,1.6476164525320094e-05,8.840048442374654e-06,8.002781806713127e-06
0.00014236569383733674,0.0001156529671550938,0.00013415620375156236,0.00014075149321314366
-9.84218388535435e-07,2.6906195005182293e-06,-1.970757698721917e-06,-1.2282147371488888e-06
1.972474070428311e-05,1.281920480806012e-05,2.2777591101981465e-05,2.2333916249664063e-05
6.708311005153289e-06,-2.1148851703419076e-05,5.468232796330616e-06,4.277095935119671e-06
0.0003705032545209472,0.0002757724168723167,0.00036898867881203674,0.00037819698410222063
-1.2907091950852684e-05,-6.585207127797477e-06,-1.0751212332489948e-05,-1.4372654932761145e-05
0.0003246754550530265,0.0002304953465533683,0.00032812957028387733,0.0003329207418078326
6.321493729469739e-05,8.341897923084055e-05,6.333899954646428e-05,6.368663314062009e-05
0.00011948440298732883,0.00010026503430481983,0.00011994846820626535,0.00012255775909397054
7.541154717441954e-05,0.00010153550932397691,8.089480185799296e-05,7.868941253306311e-05
2.8061656350322414e-05,3.641559249084603e-05,3.053788008416762e-05,3.0426831277690844e-05
3.4857422410059305e-05,2.1117472764389453e-05,3.85586928179707e-05,3.727547761586507e-05
2.0175615567630603e-05,5.803736518394248e-05,2.6378459135540863e-05,1.8637501863996708e-05
0.00023196490458916516,0.00016480513919284005,0.00023512225244975808,0.00023406436439301313
0.00018221187233742782,0.00016134131654302157,0.00017746735262715203,0.00018301564083714715
2.0760427281238045e-05,1.1034926302121856e-05,2.0900646799645872e-05,2.0891330957470075e-05
4.2357943692641203e-05,4.555617674338944e-05,3.87946961208762e-05,4.324175591091835e-05
-3.1491425557274993e-05,-5.341360315023504e-05,-3.3101890348122276e-05,-3.123204855233139e-05
-1.074354664435187e-06,2.0339578707189235e-05,-3.003860521468005e-07,-5.558245284725816e-07
9.279442261316169e-05,9.758344573574176e-05,9.111199641629805e-05,9.569880567926979e-05
