Methods,24,60,120
GS1,0.0092280015,0.0070064171,0.0046763646
SM,0.0092528005,0.0069755224,0.0048459142
SM2,0.0091751188,0.0068266628,0.0046925431
HC,0.0100306286,0.0073152093,0.0051457945
