date,SPX,RTY,MXEA,MXEF,XAU,SPGSCI,LF98TRUU,LBUSTRUU,FNERTR
1988-02-29,0.046607371732628966,0.09013639554708663,0.06668966026951795,0.0023761652348748274,-0.06954148471615729,-0.017043749624917504,0.03236335472449681,0.011870417117441967,0.03824026273198733
1988-03-31,-0.03087542212491201,0.046758205110513096,0.06145010547061447,0.09992706053975198,0.07227502053267632,0.045240857195189,-0.010396013075398058,-0.009384930652490131,0.004972350545024318
1988-04-29,0.011066436913651279,0.022741255053612353,0.014513040703240554,0.04666777188328908,-0.017397964766385776,0.02225467289719618,0.007635241241132906,-0.005396492280018039,0.006951756620585892
1988-05-31,0.008635055294652139,-0.026876060755795295,-0.03204243728418532,0.026530450621683688,0.014476614699331813,0.01702759842294732,0.0015047291487533254,-0.006721929163526763,-0.014752015471625968
1988-06-30,0.045884650045058706,0.07130872483221484,-0.026352524096163177,0.031553772565962035,-0.04160263446761803,-0.03775493005225017,0.014595406739643657,0.024126001456664437,0.03473894436519265
1988-07-29,-0.0037696560637611176,-0.00950006182252816,0.03137445288142793,-0.028344925585221947,0.0005726720879624114,-0.010626496175629274,0.006558070657922466,-0.0052449106587253436,0.010687224961122288
1988-08-31,-0.03394716926736108,-0.02548632060751066,-0.06501768863587898,-0.030788177339901357,-0.020718864468864506,-0.011153732664502702,-0.0014712063892391436,0.00262138814417634,-0.004670551517929167
1988-09-30,0.042600813220427636,0.026515798462852347,0.04368210315993171,0.062102922490470114,-0.0702513150204559,-0.032107901647171144,0.012576299726373419,0.022639491354210062,0.005635347001425206
1988-10-31,0.02783641632974332,-0.011085229399775298,0.08557689408785318,-0.008972633467922986,0.03696253457379939,0.02965840424220012,0.012108299121758481,0.018826263800116205,-0.004382713357463652
1988-11-30,-0.014237476938072091,-0.03314475593598176,0.05956397972644578,-0.005885015844273478,0.024733268671193187,0.04203844541589308,0.005904703224481445,-0.01214782707881823,-0.02024703795361471
1988-12-30,0.01744473479765518,0.03926217562482326,0.005556684074988993,0.02360352155434131,-0.0292238523426408,0.059766680075857836,0.004696033893114349,0.0011258010507475547,0.017882489689627024
1989-01-31,0.07319866722199064,0.044664908535309245,0.0176140547514938,-0.016386149625565394,-0.03960999390615483,-0.015020877392766141,0.0176294264085759,0.01438828176811513,0.022169029240279636
1989-02-28,-0.02490217004624684,0.0072928353902868,0.005142161885246077,0.0743253429820594,-0.017766497461928932,0.026150627615062705,0.0021967049425861696,-0.007248436611711262,-0.0029755510677609287
1989-03-31,0.02331597625286075,0.023589784390166235,-0.019628829724202657,0.0945130507998877,-0.009819121447028456,0.060250013412736836,-0.007821062070339835,0.004323550465282766,0.004643645962398413
1989-04-28,0.05192195501393648,0.04364385371730606,0.00927333931194041,0.18110135265081095,-0.014744258872651295,-5.060216577268406e-05,0.00421750263593923,0.020925989280419666,0.028258584818651622
1989-05-31,0.0404547695341384,0.04306620987562382,-0.054420542273789674,0.009986973512809305,-0.04171632896305122,-0.04589848691867826,0.019399030048497634,0.026277576096062516,0.009334487541848846
1989-06-30,-0.005656075098463109,-0.022866425090591114,-0.016812273163689717,-0.12252794496990549,0.03095632946379201,0.003871857430784109,0.012408651723968767,0.030448151070719076,0.01938497148053231
1989-07-31,0.0902972184168207,0.03863719400803789,0.12557137712275246,0.06253062224399808,-0.012600536193029477,-0.051355206847360946,-0.001308012789458246,0.021256931608133023,0.03695819648866716
1989-08-31,0.01953018301010645,0.024377803183537106,-0.04497320313317221,0.020231713643437566,-0.023079011675264716,0.02450570871623481,0.00339558573853993,-0.014815772462831278,0.009227941895247227
1989-09-29,-0.00404554588077688,0.0031764564482066326,0.0455318600605632,0.12418079096045198,0.01862145636464696,0.050394128839358565,-0.016823785351704035,0.005117841583119009,-0.009356657174405814
1989-10-31,-0.023215150373917193,-0.05918597884503485,-0.040184376097660235,0.011709719569806154,0.02401091405184186,-0.017648276575923827,-0.023700644146137595,0.024623338642713488,-0.025792952403300817
1989-11-30,0.020379499325273276,0.006712996652598058,0.05026451629471729,-0.048035368337390194,0.08752997601918455,0.011801274959169827,-0.0019642407454042443,0.009531090723751356,-0.0031413717657922113
1989-12-29,0.02402094410407285,0.0038130003433507476,0.036928813766543334,0.12032978501356717,-0.01690554943035638,0.07914605571465749,0.0015643924101735873,0.0026758216792044376,-0.0020035237855524635
1990-01-31,-0.06713054479323166,-0.08736588175991944,-0.03720538125051576,0.030600838379133855,0.03439252336448595,-0.04062726176115794,-0.02146420113871106,-0.011883182275931437,-0.04148255755301333
1990-02-28,0.012883539582980275,0.031048426866554957,-0.0697976303462634,0.03836941293442386,-0.017708709794000743,-0.014535029925061727,-0.020647752432933486,0.0032358336730533566,-0.007020018102595338
1990-03-30,0.02649930264993028,0.0388949472918938,-0.10420232233602789,-0.1388840529247911,-0.09614912926171204,0.013626620393998312,0.026235541535226226,0.0007365079365080351,0.00997382004727232
1990-04-30,-0.0249728260869565,-0.03265073109646055,-0.007936158017724071,0.06474601971190297,-0.002035278154681186,-0.023513418256885465,-0.0016906603821916777,-0.009161506446046075,-0.017378893459827016
1990-05-31,0.09751679161673321,0.07077995012278948,0.11413566804438324,0.08041393714990974,-0.012780421481984994,-0.021295245952356323,0.019295904752129722,0.029608380503547416,-0.0007689678742310857
1990-06-29,-0.006754697816150346,0.0020267747613205156,-0.008822258418375806,0.03312829525483307,-0.029885690676215493,-0.029661240187556004,0.02416675057899509,0.016045175253115662,0.017272338606241888
