Level,HC,SM,SM2,GS1
3,4.92,4.65,5.85,4.94
6,6.72,6.58,6.64,6.49
9,8.45,8.3,8.29,8.38
12,9.46,9.34,9.4,9.25
15,9.35,9.34,9.26,9.06
