Level,HC,SM,SM2,GS1
3,3.76,3.6,4.85,3.78
6,7.52,7.39,7.03,7.71
9,11.28,11.13,10.95,11.46
12,14.55,14.53,14.44,14.66
15,16.78,16.79,16.8,16.88
