Level,HC,SM,SM2,GS1
3,0.79,0.75,0.8,0.79
6,0.63,0.62,0.66,0.59
9,0.58,0.57,0.58,0.56
12,0.52,0.51,0.52,0.5
15,0.44,0.44,0.44,0.42
