Level,HC,SM,SM2,GS1
3,4.9,4.64,6.14,4.85
6,6.22,6.19,6.32,6.65
9,7.41,7.63,7.15,7.88
12,7.61,8.13,7.49,8.18
15,8.27,8.38,8.1,8.64
