Level,HC,SM,SM2,GS1
3,3.97,3.82,5.67,3.92
6,7.59,7.54,7.29,7.62
9,11.1,11.2,11.01,11.37
12,14.18,14.28,14.24,14.49
15,15.98,16.08,16.16,16.33
