Level,HC,SM,SM2,GS1
3,0.74,0.7,0.73,0.74
6,0.56,0.56,0.6,0.62
9,0.49,0.51,0.47,0.52
12,0.4,0.43,0.39,0.43
15,0.4,0.4,0.38,0.41
