Level,HC,SM,SM2,GS1
3,3.6,3.56,4.38,3.63
6,7.26,7.21,6.61,7.62
9,11.23,11.18,11.15,11.74
12,15.14,15.06,15.09,15.46
15,17.2,17.12,17.22,17.57
