Level,HC,SM,SM2,GS1
3,5.03,4.91,5.71,5.32
6,5.95,5.82,6.0,5.98
9,6.75,6.65,6.74,6.83
12,6.71,6.62,6.63,6.66
15,6.31,6.29,6.24,5.69
