,Level,0,1,2,3,4,5,6,7,8,9,10,11
0,3,1.59,1.42,0.94,1.81,0.61,0.46,0.41,0.53,0.28,0.25,0.24,0.26
1,6,2.84,2.87,2.06,3.11,1.53,1.46,1.05,1.29,0.95,0.92,0.67,0.96
2,9,3.68,3.69,3.43,4.06,1.91,1.84,1.68,1.72,1.3,1.28,1.25,1.3
3,12,4.38,4.46,4.29,4.53,2.99,2.71,2.6,2.52,2.0,1.97,1.99,2.03
4,15,4.39,4.5,4.39,4.48,3.78,3.71,3.78,3.76,2.24,2.27,2.19,2.27
